S003929816 Acidimicrobium ferrooxidans (T); ICP.	Root;Bacteria;"Actinobacteria";Actinobacteria;Acidimicrobidae;Acidimicrobiales;"Acidimicrobineae";Acidimicrobiaceae;Acidimicrobium.
S000138147 Corynebacterium aquilae (T); type strain: CECT 5993.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium.
S000139759 Corynebacterium sphenisci (T); CECT 5990 = type strain.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium.
S000141036 Corynebacterium atypicum (T); CCUG 45804.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium.
S000251907 Corynebacterium suicordis (T); S-81/02.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium.
S000259945 Corynebacterium kutscheri (T); CIP 103423.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium.
S000259947 Corynebacterium diphtheriae (T); NCTC 11397.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium.
S000259948 Corynebacterium bovis (T); NCTC 3224.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium.
S000260072 Corynebacterium flavescens (T); NCDO 1320.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium.
S000260207 Corynebacterium minutissimum (T); NCTC 10288.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium.
S000260342 Corynebacterium callunae (T); NCFB 10338.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium.
S000260581 Corynebacterium ammoniagenes (T); CIP 101283.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium.
S000260718 Corynebacterium mycetoides (T); NCTC 9864.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium.
S000260721 Corynebacterium ulcerans (T); NCTC 7910.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium.
S000260722 Corynebacterium propinquum (T); CIP 103792.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium.
S000260723 Corynebacterium striatum (T); NCTC 764.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium.
S000260846 Corynebacterium auris (T); DZZM 328.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium.
S000260870 Corynebacterium jeikeium (T); NCTC 11913.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium.
S000260877 Corynebacterium cystitidis (T); NCTC 11863.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium.
S000352322 Corynebacterium caspium (T); type strain: CCUG 44566.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium.
S000356923 Corynebacterium halotolerans (T); YIM70093; 1042700198-028057-21589.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium.
S000366396 Corynebacterium aurimucosum (T); type strain: IMMIB D-1488 = DSM	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium.
S000366398 Corynebacterium glaucum (T); type strain: IMMIB R-5091 = DSM 44530	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium.
S000366399 Corynebacterium pseudodiphtheriticum (T); CIP103420T, (ATCC10700).	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium.
S000366401 Corynebacterium macginleyi (T); CIP104099T, (ATCC51787T).	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium.
S000366402 Corynebacterium accolens (T); CIP104783T = ATCC 49725T.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium.
S000383775 Corynebacterium efficiens (T); YS-314.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium.
S000387082 Corynebacterium thomssenii (T).	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium.
S000390351 Corynebacterium casei (T); LMG S-19264.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium.
S000391375 Corynebacterium glutamicum (T); ATCC13032.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium.
S000432912 Corynebacterium simulans (T); UCL553.	Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium.
