S003929816 Acidimicrobium ferrooxidans (T); ICP.	Root;Bacteria;"Actinobacteria";Actinobacteria;Acidimicrobidae;Acidimicrobiales;"Acidimicrobineae";Acidimicrobiaceae;Acidimicrobium.
S002915891 Marinomonas hwangdonensis (T); HDW-15.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Marinomonas.
S000022912 Marinospirillum alkaliphilum (T); Z4.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Marinospirillum.
S000385739 Marinospirillum insulare (T); K.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Marinospirillum.
S000427372 Marinospirillum minutulum (T); ATCC 19193.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Marinospirillum.
S000427373 Marinospirillum megaterium (T); H7.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Marinospirillum.
S000995863 Marinospirillum celere (T); v1c_Sn-red.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Marinospirillum.
S000643638 Neptuniibacter caesariensis (T); MED92.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Neptuniibacter.
S001550805 Neptuniibacter halophilus (T); antisso-13.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Neptuniibacter.
S000428104 Neptunomonas naphthovorans (T); NAG-2N-126.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Neptunomonas.
S000870482 Neptunomonas japonica (T); JAMM 0745.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Neptunomonas.
S001329559 Neptunomonas antarctica (T); S3-22.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Neptunomonas.
S002912421 Neptunomonas qingdaonensis (T); P10-2-4.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Neptunomonas.
S003803555 Neptunomonas concharum (T); LHW37.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Neptunomonas.
S000360754 Nitrincola lacisaponensis (T); 4CA.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Nitrincola.
S001043996 Oceaniserpentilla haliotis (T); type strain: DSM 19503.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Oceaniserpentilla.
S000427370 Oceanobacter kriegii (T); IFO 15467.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Oceanobacter.
S000427363 Oceanospirillum beijerinckii (T); IFO 15445.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Oceanospirillum.
S000427366 Oceanospirillum maris (T); IFO 15468.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Oceanospirillum.
S000427367 Oceanospirillum multiglobuliferum (T); IFO 13614.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Oceanospirillum.
S001548413 Oleibacter marinus (T); 2O1.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Oleibacter.
S000126568 Oleispira antarctica (T); RB-8.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Oleispira.
S000427369 Pseudospirillum japonicum (T); ATCC 19191.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Pseudospirillum.
S000352286 Reinekea marinisedimentorum (T); type strain: DSM 15388.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Reinekea.
S000651296 Reinekea blandensis (T); MED297.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Reinekea.
S001589601 Reinekea aestuarii (T); IMCC 4489.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Reinekea.
S000264684 Thalassolituus oleivorans (T); MIL-1.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Thalassolituus.
S001589467 Thalassolituus marinus (T); IMCC 1826.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Thalassolituus.
S002410015 Sinobacterium caligoides (T); SCSWE24.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Sinobacterium.
S002035209 Corallomonas stylophorae (T); KTSW-6.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Corallomonas.
S000018028 Oleiphilus messinensis (T); ME102.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Oceanospirillales;Oleiphilaceae;Oleiphilus.
S000131654 Saccharospirillum impatiens (T); type strain: EL-105 = DSM 12546 =	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Oceanospirillales;"Saccharospirillaceae";Saccharospirillum.
S000776572 Saccharospirillum salsuginis (T); YIM-Y25.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Oceanospirillales;"Saccharospirillaceae";Saccharospirillum.
S001576404 Saccharospirillum aestuarii (T); IMCC 4453.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Oceanospirillales;"Saccharospirillaceae";Saccharospirillum.
S000556588 Salicola marasensis (T); 7Sm5.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Oceanospirillales;Oceanospirillales_incertae_sedis;Salicola.
S000586597 Salicola salis (T); B2.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Oceanospirillales;Oceanospirillales_incertae_sedis;Salicola.
S000609060 Spongiispira norvegica (T); Gp_4_7.1.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Oceanospirillales;Oceanospirillales_incertae_sedis;Spongiispira.
S000018802 Actinobacillus scotiae (T); M2000/95/1; CIP 105697; NCTC 12922.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Actinobacillus.
S000368450 Actinobacillus capsulatus (T); CCUG 12396.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Actinobacillus.
S000368453 Actinobacillus delphinicola (T); NCTC 12870.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Actinobacillus.
S000368454 Actinobacillus hominis (T); NCTC 11529.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Actinobacillus.
S000368455 Actinobacillus indolicus (T); 46KC2.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Actinobacillus.
S000368456 Actinobacillus lignieresii (T); NCTC 4189.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Actinobacillus.
S000368457 Actinobacillus minor (T); NM305.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Actinobacillus.
S000368458 Actinobacillus muris (T); NCTC 12432.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Actinobacillus.
S000368459 Actinobacillus rossii (T); ATCC 27072.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Actinobacillus.
S000368461 Actinobacillus seminis (T); CCUG 27187.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Actinobacillus.
S000368463 Actinobacillus suis (T); ATCC 33415.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Actinobacillus.
S000368464 Actinobacillus ureae (T); CCUG 2139.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Actinobacillus.
S000390043 Actinobacillus equuli (T); F 154.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Actinobacillus.
S000392708 Actinobacillus equuli (T); ATCC 19392.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Actinobacillus.
S000414295 Actinobacillus arthritidis (T).	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Actinobacillus.
S000427736 Actinobacillus succinogenes (T); 130Z.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Actinobacillus.
S000435475 Actinobacillus anseriformium (T); F66.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Actinobacillus.
S000438118 Actinobacillus porcinus (T); NM319.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Actinobacillus.
S004056866 Actinobacillus pleuropneumoniae (T); ATCC 27088.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Actinobacillus.
S000368470 Aggregatibacter aphrophilus (T); CCUG 3715.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter.
S004056832 Aggregatibacter actinomycetemcomitans (T); ATCC 33384.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter.
S004056835 Aggregatibacter segnis (T); ATCC 33393.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter.
S000368485 Avibacterium gallinarum (T); NCTC 11188.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Avibacterium.
S000474065 Avibacterium paragallinarum (T); NCTC 11296T.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Avibacterium.
S004056850 Avibacterium avium (T); NCTC 11297.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Avibacterium.
S004056862 Avibacterium volantium (T); NCTC 3438.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Avibacterium.
S001793623 Basfia succiniciproducens (T); JF4016.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Basfia.
S000368491 Bibersteinia trehalosi (T); NCTC 10370.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Bibersteinia.
S001240383 Chelonobacter oris (T); 1662.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Chelonobacter.
S000389580 Gallibacterium anatis (T); F 149.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Gallibacterium.
S000414289 Gallibacterium salpingitidis (T); CCUG 15564.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Gallibacterium.
S001240394 Gallibacterium trehalosifermentans (T); 52/S3/90.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Gallibacterium.
S001292642 Gallibacterium melopsittaci (T); F450.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Gallibacterium.
S000245507 Haemophilus pittmaniae (T); type strain: HK85.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus.
S000368469 Haemophilus aegyptius (T); CCUG 25716.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus.
S000368471 Haemophilus haemoglobinophilus (T); CCUG 3714.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus.
S000368472 Haemophilus parainfluenzae (T); CCUG 12836.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus.
S000368473 Haemophilus parasuis (T); CCUG 3712.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus.
S000389438 Haemophilus felis (T); ATCC49733.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus.
S002911966 Haemophilus sputorum (T); CCUG 13788.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus.
S004056773 Haemophilus influenzae (T); ATCC 33391.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus.
S004056818 Haemophilus ducreyi (T); CIP 54.2.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus.
S004056853 Haemophilus paracuniculus (T); ATCC 29986.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus.
S004056868 Haemophilus paraphrohaemolyticus (T); NCTC 10670.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus.
S000432787 Histophilus somni (T); 8025; CCUG 36157; ATCC 43625.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Histophilus.
S000012736 Lonepinella koalarum (T); ACM 3666.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Lonepinella.
S000428108 Mannheimia glucosida (T); P925; CCUG 38457.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Mannheimia.
S000428112 Mannheimia varigena (T); 177; CCUG 38462.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Mannheimia.
S000428119 Mannheimia ruminalis (T); HPA92; CCUG 38470.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Mannheimia.
S000428121 Mannheimia granulomatis (T); ATCC 49244.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Mannheimia.
S004056872 Mannheimia haemolytica (T); NCTC 9380.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Mannheimia.
S000420263 Nicoletella semolina (T); CCUG 43639.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Nicoletella.
S000368481 Pasteurella bettyae (T); CCUG 2042.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Pasteurella.
S000368483 Pasteurella canis (T); CCUG 12400.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Pasteurella.
S000368484 Pasteurella dagmatis (T); CCUG 12397.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Pasteurella.
S000368486 Pasteurella langaaensis (T); CCUG 15566.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Pasteurella.
S000368487 Pasteurella mairii (T); CCUG 27189.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Pasteurella.
S000368488 Pasteurella pneumotropica (T); NCTC 8141.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Pasteurella.
S000368489 Pasteurella stomatis (T); CCUG 17979.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Pasteurella.
S000368490 Pasteurella testudinis (T); CCUG 19802.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Pasteurella.
S000390826 Pasteurella multocida (T); CCUG 17976.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Pasteurella.
S000390827 Pasteurella multocida (T); CCUG 17977.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Pasteurella.
S000390828 Pasteurella multocida (T); CCUG 17978.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Pasteurella.
S000438222 Pasteurella aerogenes (T); ATCC 27883T.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Pasteurella.
S000007815 Phocoenobacter uteri (T); M1063U = NCTC 12872.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Phocoenobacter.
S000356615 Volucribacter psittacicida (T); Gerl. 236/81.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Volucribacter.
S000356616 Volucribacter amazonae (T); 146/S8/89.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Volucribacter.
S002908442 Otariodibacter oris (T); Baika1.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Otariodibacter.
S000019875 Pasteurella skyensis (T); 95A1.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pasteurellales;Pasteurellaceae;unclassified_Pasteurellaceae.
S000368482 Pasteurella caballi (T); ATCC 49197.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pasteurellales;Pasteurellaceae;unclassified_Pasteurellaceae.
S000002678 Acinetobacter radioresistens (T); DSM 6976.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter.
S000003452 Acinetobacter lwoffii (T); DSM 2403.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter.
S000008827 Acinetobacter haemolyticus (T); DSM 6962.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter.
S000010336 Acinetobacter junii (T); DSM 6964.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter.
S000010762 Acinetobacter guillouiae (T); DSM 590.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter.
S000012980 Acinetobacter baumannii (T); DSM 30007.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter.
S000127903 Acinetobacter ursingii (T); LUH 3792Type.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter.
S000128284 Acinetobacter venetianus (T); ATCC 31012.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter.
S000128483 Acinetobacter schindleri (T); LUH5832T.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter.
S000147422 Acinetobacter parvus (T); LUH4616 (Aci602).	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter.
S000323980 Acinetobacter beijerinckii (T); type strain: NIPH 838 = LUH 4759.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter.
S000381585 Acinetobacter johnsonii (T); ATCC 17909T; DNA Group seven.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter.
S000381588 Acinetobacter bereziniae (T); ATCC 17924; DNA Group ten.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter.
S000430598 Acinetobacter baylyi (T); B2.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter.
S000430601 Acinetobacter towneri (T); AB1110.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter.
S000430603 Acinetobacter tjernbergiae (T); 7N16.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter.
S000430605 Acinetobacter bouvetii (T); 4B02.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter.
S000430607 Acinetobacter gerneri (T); 9A01.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter.
S000430608 Acinetobacter tandoii (T); 4N13.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter.
S000539363 Acinetobacter gyllenbergii (T); type strain: RUH 422 = NIPH 2150 =	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter.
S000539896 Acinetobacter calcoaceticus (T); type strain: NCCB 22016.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter.
S000722362 Acinetobacter brisouii (T); 5YN5-8.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter.
S000980089 Acinetobacter soli (T); B1.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter.
S002167808 Acinetobacter indicus (T); A648.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter.
S002234300 Acinetobacter pittii (T); LMG 1035.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter.
S002418317 Acinetobacter rudis (T); G30.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter.
S003291669 Acinetobacter nectaris (T); SAP 763.2.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter.
S000430917 Alkanindiges illinoisensis (T); MVAB Hex1.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Alkanindiges.
S000117304 Enhydrobacter aerosaccus (T); type strain: LMG 21877 = ATCC 27094.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Enhydrobacter.
S000130775 Moraxella canis (T); LMG 11194T (N7).	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella.
S000386975 Moraxella bovis (T); ATCC 10900T.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella.
S000386977 Moraxella equi (T); 327/72.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella.
S000386978 Moraxella catarrhalis (T); ATCC 25238T.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella.
S000386979 Moraxella ovis (T); ATCC 33078T.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella.
S000386980 Moraxella caviae (T); CCUG 355T.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella.
S000386981 Moraxella cuniculi (T); CCUG 2154T.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella.
S000413900 Moraxella lacunata (T); ATCC17967.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella.
S000842370 Moraxella bovoculi (T); 237.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella.
S000842382 Moraxella boevrei (T); ATCC 700022.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella.
S000842383 Moraxella caprae (T); ATCC 700019.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella.
S000994821 Moraxella pluranimalium (T); type strain: 248-01.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella.
S001199954 Moraxella porci (T); type strain: SN9-4M.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella.
S002153929 Moraxella nonliquefaciens (T); CCUG 348.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella.
S002153941 Moraxella atlantae (T); CCUG 6415.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella.
S002408237 Moraxella lincolnii (T); type strain: CCUG 9405.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella.
S000775968 Perlucidibaca piscinae (T); IMCC1704.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Perlucidibaca.
S000001213 Psychrobacter glacincola (T); DSM 12194T.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Psychrobacter.
S000083764 Psychrobacter submarinus (T); KMM 225.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Psychrobacter.
S000083933 Psychrobacter marincola (T); KMM 277.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Psychrobacter.
S000125539 Psychrobacter pulmonis (T); type strain:CECT 5989T.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Psychrobacter.
S000129378 Psychrobacter proteolyticus (T); 116.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Psychrobacter.
S000129392 Psychrobacter faecalis (T); Iso-46.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Psychrobacter.
S000136516 Psychrobacter luti (T); NF11.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Psychrobacter.
S000137020 Psychrobacter fozii (T); NF23.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Psychrobacter.
S000251649 Psychrobacter okhotskensis (T); MD17.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Psychrobacter.
S000253171 Psychrobacter frigidicola (T); type strain: DSM 12411.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Psychrobacter.
S000254877 Psychrobacter urativorans (T); type strain: DSM 14009.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Psychrobacter.
S000376605 Psychrobacter nivimaris (T); type strain: 88/2-7.	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Psychrobacter.
S000382360 Psychrobacter pacificensis (T); NIBH P2K6(T)(=IFO 16279(T)).	Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Psychrobacter.
